brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
PACO RABANNE,1 Million Lucky,244.55,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",1,1,0.2659255141745414,8,Oakmoss,Patchouli,Vetiver,,,,,,,,,,Hazelnut,Jasmine,Cashmir Wood,Cedar,Honey,,,,,,,
Roberto Cavalli,Paradiso Assoluto,107.95,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,0,2,0.11406336853807672,5,Vanilla,Salwood,alwood  Patchouli,,,,,,,,,,Wild Jasmine,Red Lily,,,,,,,,,,
S.T.Dupont,Royal Amber,186.9,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,2,2,0.20183435241801,6,Lemon,Mint,Wood Moss,,,,,,,,,,Salwood,Sandalwood,Cedar,,,,,,,,,
GUESS,Seductive Blue,103.2,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,1,1,0.10878265703168429,4,Cashmere Wood,Moss  Rippled S,Accord,,,,,,,,,,Blue Coral Aquaspace Accord  Geranium,,,,,,,,,,,
Roberto Cavalli,Uomo,94.95,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,0,2,0.09961089494163425,4,Vanille,Benzoin,Tonka Bean,,,,,,,,,,African Orange Flower,,,,,,,,,,,
Roberto Cavalli,cavalli,94.95,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,0,2,0.09961089494163425,4,Vanille,Benzoin,Tonka Bean,,,,,,,,,,African Orange Flower,,,,,,,,,,,
HUGO BOSS,The Scent,220.0,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",0,2,0.23863257365202892,3,Roasted Cocoa,,,,,,,,,,,,Lavender,Osmanthus Flower,,,,,,,,,,
DORALL COLLECTION,Gold Secret,12.35,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,1,1,0.007782101167315175,4,Labdanum,Musk,,,,,,,,,,,Lavender,Cloves,,,,,,,,,,
GUCCI,Bamboo,189.0,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,0,2,0.20416898276820455,4,Salwood,Sandalwood,,,,,,,,,,,Casablanca Lily,Ylang Ylang Extra-Comoros,,,,,,,,,,
Yves Saint Laurent,M7 Oud Absolu,273.0,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,1,1,0.29755419677598666,5,Cistus,Myrrh,Oud,Amber,,,,,,,,,Patchouli,,,,,,,,,,,
CERRUTI 1881,1881,119.55,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",1,1,0.12695942190105614,11,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Cedar,Pepper  Pine Tree,,,,,,Vetiver,Ylang-Ylang,Rose,Lily-Of-The-Valley  Cassia,,,,,,,,
Calvin Klein,IN 2 U MEN,85.0,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,1,1,0.08854919399666482,4,White Musk,Vetiver,Cedar,,,,,,,,,,Cacao Pod,,,,,,,,,,,
Rasasi,Royale Blue,45.3,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,1,2,0.04441356309060589,3,Delicate Musky Sensual Woods,,,,,,,,,,,,Distinct,Exotic,,,,,,,,,,
MONTALE,Black Oud,240.0,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",1,2,0.26086714841578656,5,M,arin Orange,Agarwood,,,,,,,,,,Musk,Patchouli,,,,,,,,,,
Yves Saint Laurent,L'Homme,273.8,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",1,1,0.29844357976653696,7,Tonka Bean,Tahitian Vetiver,Cedar,,,,,,,,,,Spices,White Pepper,Basil,Violet Leaf,,,,,,,,
CHLOE,Love Story,274.95,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",0,2,0.29972206781545296,9,Musk,Cedar,Cashmirwood,Patchouli,,,,,,,,,Orange Blossom,Stephanotis,Rose,Black Currant,Peach,,,,,,,
